"N.p.k.","Uzstāšanās Nr.","Kolektīva nosaukums","Vadītājs","Kvalitātes grupa","Gala vērtējums (punkti)","Piezīmes, lēmums"
1,8,"TEIKSMA","Jānis Ērglis","A",65.0,"Augstākā pakāpe"
2,14,"LĪGO","Jānis Purviņš","A",64.8,"Augstākā pakāpe"
3,4,"VEKTORS","Dagmāra Bārbale","A",64.5,"Augstākā pakāpe"
4,10,"DAIĻRADE","Iveta Pētersone- Lazdāne","A",64.3,"Augstākā pakāpe"
5,9,"DANCIS","Rolands Juraševskis","A",64.3,"Augstākā pakāpe"
6,5,"GATVE","Gunta Raipala","A",63.8,"Augstākā pakāpe"
7,11,"AČKUPS","Elita Treilone","A",63.8,"Augstākā pakāpe"
8,13,"AUSTRIS","Elita Treilone","A",63.3,"Augstākā pakāpe"
9,3,"ROTAĻA","Diāna Gavare","A",62.0,"Augstākā pakāpe"
10,12,"PĒRLE","Raimonds Dzintars","A",60.5,"Augstākā pakāpe"
11,1,"LIESMA","Artis Puriņš","A",60.0,"Augstākā pakāpe"
12,16,"ZALKTIS","Zane Behmane","A",59.0,"I pakāpe"
13,7,"DZĪPARS","Renāte Linde","A",57.5,"I pakāpe"
14,2,"DARDEDZE","Ilze Kronberga","A",56.2,"I pakāpe"
15,15,"ČIEKURS","Ineta Bērziņa","A",56.0,"I pakāpe"
16,6,"BRAMANI","Taiga Ludborža","A",54.5,"II pakāpe"
17,25,"DANCIS","Rolands Juraševskis","D",59.3,"Augstākā pakāpe"
18,20,"DAIĻRADE Vidējā paaudze","Iveta Pētersone- Lazdāne","D",58.8,"Augstākā pakāpe"
19,26,"LĪGO Vidējā paaudze","Jānis Purviņš","D",58.7,"Augstākā pakāpe"
20,24,"DeTeiksma","Jānis Ērglis","D",58.3,"Augstākā pakāpe"
21,19,"Teiksma Vidējā paaudze","Jānis Ērglis","D",56.8,"Augstākā pakāpe"
22,22,"ROTAĻA XO","Diāna Gavare","D",56.3,"Augstākā pakāpe"
23,21,"DAIĻRADE Vidējā paaudze","Gunita Zirne","D",53.8,"I pakāpe"
24,17,"RĪDZENIEKS","Viesturs Virza","D",53.5,"I pakāpe"
25,23,"ZALKTIS","Zane Behmane","D",53.5,"I pakāpe"
26,27,"GATVE OTRĀ IESPĒJA","Aigars Bajārs","D",53.0,"I pakāpe"
27,18,"DAUGAVA","Ieva Jundze","D",52.7,"I pakāpe"
28,7,"Koncertorganizācijas 'Ave Sol' Tautas deju ansambļa 'TEIKSMA' studija","Inga Pulmane","B",57.5,"Augstākā pakāpe"
29,9,"VEF Kultūras pils Tautas deju ansamblis 'ZELTA SIETIŅŠ' - 1","Baiba Šteina","B",57.3,"Augstākā pakāpe"
30,1,"VEF Kultūras pils Tautas deju ansamblis 'ZELTA SIETIŅŠ' - 2","Baiba Šteina","B",57.3,"Augstākā pakāpe"
31,5,"Kultūras un atpūtas centra 'Imanta' jauniešu deju kolektīvs 'IMANTA'","Aija Konstante","B",55.0,"Augstākā pakāpe"
32,8,"Bērnu un jauniešu centra 'Rīgas Skolēnu pils' Tautas deju ansamblis 'UGUNTIŅA'","Gita Ūdre","B",53.7,"I pakāpe"
